File: streampulse-final.exe
Build ID: <workspace>\.tools\streampulse-final.exe2026-08-09 17:13:14.3541593 +0200 CEST
Type: cpu
Time: 2026-08-09 17:15:34 CEST
Duration: 30.12s, Total samples = 1.41s ( 4.68%)
Showing nodes accounting for 1.34s, 95.04% of 1.41s total
Showing top 20 nodes out of 193
      flat  flat%   sum%        cum   cum%
     0.83s 58.87% 58.87%      0.83s 58.87%  runtime.cgocall
     0.12s  8.51% 67.38%      0.12s  8.51%  crypto/internal/fips140/bigmod.addMulVVW (inline)
     0.07s  4.96% 72.34%      0.07s  4.96%  runtime.runqgrab.osyield.func1
     0.05s  3.55% 75.89%      0.05s  3.55%  runtime.heapArenaOf (inline)
     0.03s  2.13% 78.01%      0.03s  2.13%  runtime.asyncPreempt
     0.03s  2.13% 80.14%      0.05s  3.55%  runtime.scanObject
     0.03s  2.13% 82.27%      0.03s  2.13%  runtime.semasleep
     0.02s  1.42% 83.69%      0.02s  1.42%  internal/runtime/maps.(*Iter).Next
     0.02s  1.42% 85.11%      0.02s  1.42%  runtime.lock2.osyield.func1
     0.02s  1.42% 86.52%      0.02s  1.42%  runtime.memmove
     0.02s  1.42% 87.94%      0.02s  1.42%  runtime.preemptM
     0.02s  1.42% 89.36%      0.08s  5.67%  runtime.tryDeferToSpanScan
     0.01s  0.71% 90.07%      0.13s  9.22%  crypto/internal/fips140/bigmod.(*Nat).montgomeryMul
     0.01s  0.71% 90.78%      0.01s  0.71%  indexbytebody
     0.01s  0.71% 91.49%      0.90s 63.83%  internal/poll.(*FD).execIO
     0.01s  0.71% 92.20%      0.01s  0.71%  internal/sync.(*Mutex).Lock
     0.01s  0.71% 92.91%      0.05s  3.55%  net.(*netFD).Read
     0.01s  0.71% 93.62%      0.01s  0.71%  runtime.(*_panic).nextDefer
     0.01s  0.71% 94.33%      0.01s  0.71%  runtime.(*activeSweep).begin
     0.01s  0.71% 95.04%      0.01s  0.71%  runtime.(*mspan).ensureSwept
